group	name	roman_name	city	county	grid	long	lat
5	camulodunum	COLONIA	Colchester	Essex	TL9925	0.892068684101105	51.8875389099121
5	scole	Scole</A>VILLA FAVSTINI	Scole	Norfolk?	TM1478	1.14305830001831	52.3578338623047
5	venta_icenorum	ICINOS	Caistor St. Edmund	Norfolk	TG2303	1.29173159599304	52.5786514282227
5	camboritum	CAMBORICO	Lackford	Suffolk?	TL7971	0.625920712947845	52.3075103759766
5	duroliponte	DVROLIPONTE	Cambridge	Cambridgeshire	TL4459	0.107771031558514	52.2099800109863
5	durobrivae_catuvellorum	DVROBRIVAS	Water Newton	Cambridgeshire	TL1296	-0.348009437322617	52.5499496459961
5	causennae	CAVSENNIS	Ancaster	Lincolnshire?	SK9843	-0.540368258953095	52.9750747680664
5	lindum	LINDO	Lincoln	Lincolnshire	SK9771	-0.546802282333374	53.2268943786621
5	segelocum	SEGELOCI	Littleborough	Nottinghamshire	SK8282	-0.768622279167175	53.3282852172852
5	danum	DANO	Doncaster	South Yorkshire	SE5703	-1.14018416404724	53.5203361511231
5	lagentium	LEGIOLIO	Castleford	South Yorkshire?	SE4225	-1.36346840858459	53.7194938659668
5	eburacum	EBVRACO	York	North Yorkshire	SE6052	-1.0854218006134	53.9604110717773
5	isurium	ISVBRIGANTVM	Aldborough	North Yorkshire	SE4066	-1.38841497898102	54.0881767272949
5	cataractonium	CATARACTONE	Catterick	North Yorkshire	SE2299	-1.66120481491089	54.385871887207
5	lavatris	LEVATRIS	Bowes	Durham	NY9913	-2.01544809341431	54.5121726989746
5	verteris	VERTERIS	Brough Castle	Cumbria	NY7914	-2.32446932792664	54.5207290649414
